,X1,Provider Name,DBA Name,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
929,929,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,CA,060855084012001,43,1,987,35,1
930,930,"VSAT Systems, LLC",Skycasters,GA,130670305022004,60,1,2,1.3,1
931,931,GCI Communication Corp.,GCI Communication Corp.,MO,290270708001067,60,0,0,0,1
932,932,PenTeleData Limited Partnership I,PenTeleData Limited Partnership I,PA,421139601002094,43,0,0,0,1
933,933,Verizon New Jersey Inc.,Verizon New Jersey Inc.,NJ,340297227021010,50,1,940,880,1
934,934,GCI Communication Corp.,GCI Communication Corp.,NM,350250008002856,60,0,0,0,1
935,935,Illinois Bell Telephone Company,AT&T Illinois,IL,170317105004006,10,1,3,0.384,0
936,936,"CenturyLink, Inc.",CenturyLink,ID,160659505001036,12,1,12,0.896,1
937,937,"VSAT Systems, LLC",Skycasters,MA,250235062033001,60,1,2,1.3,1
938,938,GCI Communication Corp.,GCI Communication Corp.,NY,360595212002030,60,0,0,0,1
939,939,CT CUBE INC DBA WEST CENTRAL WIRELESS,West Central Net,TX,480959503003037,70,1,4,1,1
940,940,Frontier Communications Corporation,Frontier Communications Corporation,CA,060890126033005,11,1,18,1,1
941,941,Lancaster Telephone Company,Comporium,SC,450570110014005,11,1,11,1,1
942,942,"Cable One, Inc.",Cable ONE,MN,270270201003009,42,1,1000,50,1
943,943,"VSAT Systems, LLC",Skycasters,HI,150010221021440,60,1,2,1.3,1
944,944,GCI Communication Corp.,GCI Communication Corp.,TN,470719202002075,60,0,0,0,1
945,945,"ViaSat, Inc.",Viasat Inc,CA,060710001161025,60,1,35,3,1
946,946,"ViaSat, Inc.",Viasat Inc,KS,200679637001086,60,1,35,3,1
947,947,AT&T California,AT&T California,CA,060610204012013,10,1,6,0.512,0
948,948,"ViaSat, Inc.",Viasat Inc,CO,080010084011194,60,1,100,3,1
949,949,"Wisper ISP, INC",Wisper ISP,MO,290299502001082,70,1,25,4,1
950,950,GCI Communication Corp.,GCI Communication Corp.,PA,420410113052030,60,0,0,0,1
951,951,"HNS License Sub, LLC",HughesNet,NY,360430115021093,60,1,25,3,1
952,952,"VSAT Systems, LLC",Skycasters,AZ,040019427004510,60,1,2,1.3,1
953,953,"Geneva Broadband, LLC","Geneva Broadband, LLC",NE,310590916002091,70,1,20,10,1
954,954,Michigan Bell Telephone Company,AT&T Michigan,MI,261635119002015,11,1,18,0.768,0
955,955,Frontier Communications Corporation,Frontier Communications Corporation,TX,481210205033002,50,1,115,115,1
956,956,Frontier Communications Corporation,Frontier Communications Corporation,FL,121030248052005,10,1,3,0.384,1
957,957,GCI Communication Corp.,GCI Communication Corp.,SC,450790028002011,60,0,0,0,1
958,958,GCI Communication Corp.,GCI Communication Corp.,GA,132310101002013,60,0,0,0,1
959,959,"HNS License Sub, LLC",HughesNet,IL,170310302004005,60,1,25,3,1
960,960,"VSAT Systems, LLC",Skycasters,NY,361031104012017,60,1,2,1.3,1
961,961,"VSAT Systems, LLC",Skycasters,SD,460139519001109,60,1,2,1.3,1
962,962,"TRANSWORLD NETWORK, CORP",TRANSWORLD NETWORK CORP,IN,180071001002090,70,1,10,5,1
963,963,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,KS,200910528025017,10,1,6,0.512,0
964,964,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,TX,482013124003007,11,1,18,0.768,0
965,965,"VSAT Systems, LLC",Skycasters,HI,150090310002013,60,1,2,1.3,1
966,966,"ViaSat, Inc.",Viasat Inc,TX,482450113032224,60,1,35,3,1
967,967,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,NC,371010401004001,70,1,2,2,0
968,968,"VSAT Systems, LLC",Skycasters,NE,310419717002060,60,1,2,1.3,1
969,969,Verizon Pennsylvania LLC,Verizon Pennsylvania LLC,PA,420430245034016,50,1,940,880,1
970,970,Frontier Communications Corporation,Frontier Communications Corporation,WV,540610106002009,11,1,18,1,1
971,971,Suddenlink Communications,Suddenlink Communications,AZ,040070005001008,43,1,150,7,1
972,972,"VSAT Systems, LLC",Skycasters,TX,484391139121005,60,1,2,1.3,1
973,973,"CenturyLink, Inc.",CenturyLink,MN,271370105002007,12,1,10,1,1
974,974,"ViaSat, Inc.",Viasat Inc,NC,370810106021011,60,1,35,3,1
975,975,"HNS License Sub, LLC",HughesNet,TN,471410012003055,60,1,25,3,1
976,976,Action Communications Inc.,Action Communications,WY,560159580002311,70,1,20,20,1
977,977,Verizon Pennsylvania LLC,Verizon Pennsylvania LLC,PA,420034734012009,50,1,940,880,1
978,978,"VSAT Systems, LLC",Skycasters,OR,410430302003379,60,1,2,1.3,1
979,979,"HNS License Sub, LLC",HughesNet,OR,410670319071029,60,1,25,3,1
980,980,"Nextera Wireless, LLC",Nextera Wireless LLC,MN,270530227002014,70,1,6,6,1
981,981,GCI Communication Corp.,GCI Communication Corp.,OH,391559316012016,60,0,0,0,1
982,982,"TRANSWORLD NETWORK, CORP",TRANSWORLD NETWORK CORP,IN,180030111003045,70,1,10,5,1
983,983,"Stratus Networks, Inc.",Stratus Networks,IL,171790201003042,50,0,0,0,1
984,984,Crown Castle Fiber LLC,Crown Castle Fiber,PA,420293045011061,50,0,0,0,1
985,985,"King Street Wireless, L.P.",King Street Wireless L.P.,WI,551131008001154,70,1,10,2,0
986,986,"Cherry Capital Connection, LLC","Cheryy Capital Connection, LLC",MI,261379502002032,70,1,20,20,1
987,987,GCI Communication Corp.,GCI Communication Corp.,MO,290030103001203,60,0,0,0,1
988,988,GCI Communication Corp.,GCI Communication Corp.,WA,530079612001017,60,0,0,0,1
989,989,Verizon Virginia LLC,Verizon Virginia LLC,VA,511670304012018,10,1,5,0.768,1
990,990,"ViaSat, Inc.",Viasat Inc,MO,290739602002193,60,1,35,3,1
991,991,GCI Communication Corp.,GCI Communication Corp.,VT,500279661001004,60,0,0,0,1
992,992,"BellSouth Telecommunications, Inc.",AT&T South Carolina,SC,450070114014033,11,1,6,0.512,0
993,993,"HNS License Sub, LLC",HughesNet,TX,481677213002005,60,1,25,3,1
994,994,Illinois Bell Telephone Company,AT&T Illinois,IL,170310107021001,10,1,6,0.512,0
995,995,Aeronet Wireless Broadband LLC,AeroNet,PR,720412402022033,70,1,100,25,1
996,996,"Charter Communications, Inc.",Charter Communications Inc,CA,060374057021003,43,1,940,35,1
997,997,GCI Communication Corp.,GCI Communication Corp.,MA,250251707021006,60,0,0,0,1
998,998,Atlas Broadband,Atlas Broadband,OK,401450304061019,70,1,10,3,1
999,999,"HNS License Sub, LLC",HughesNet,AZ,040050022004130,60,1,25,3,1
1000,1000,"HNS License Sub, LLC",HughesNet,OK,401310504061082,60,1,25,3,1
1001,1001,"Ultimate Internet Access, Inc","Ultimate Internet Access, Inc.",CA,060710097155002,70,1,30,30,1
1002,1002,Frontier Communications Corporation,Frontier Communications Corporation,CA,060710104231053,11,1,12,1,1
1003,1003,"HNS License Sub, LLC",HughesNet,FL,120050005002066,60,1,25,3,1
1004,1004,"ViaSat, Inc.",Viasat Inc,LA,220170248001088,60,1,100,3,1
1005,1005,"ViaSat, Inc.",Viasat Inc,NM,350290005002873,60,1,35,3,1
1006,1006,"ViaSat, Inc.",Viasat Inc,NE,310399729001281,60,1,100,3,1
1007,1007,"ViaSat, Inc.",Viasat Inc,MI,260370105002019,60,1,100,3,1
1008,1008,GCI Communication Corp.,GCI Communication Corp.,MO,291019609002202,60,0,0,0,1
1009,1009,"HNS License Sub, LLC",HughesNet,IL,170318260001007,60,1,25,3,1
1010,1010,Network Business Systems Inc.,NBS,IL,170119655002071,70,1,40,5,1
1011,1011,"VSAT Systems, LLC",Skycasters,NE,311770502013051,60,1,2,1.3,1
1012,1012,"ViaSat, Inc.",Viasat Inc,TX,480239503001290,60,1,35,3,1
1013,1013,AT&T California,AT&T California,CA,060590889021014,10,1,3,0.384,0
1014,1014,Viaero Wireless,"NE Colorado Cellular, Inc",NE,311219668003113,70,1,15,5,1
1015,1015,Verizon Maryland LLC,Verizon Maryland LLC,MD,240217530023019,10,1,15,1,1
1016,1016,"HNS License Sub, LLC",HughesNet,OH,390950064003015,60,1,25,3,1
1017,1017,GCI Communication Corp.,GCI Communication Corp.,KS,200910533012013,60,0,0,0,1
1018,1018,GCI Communication Corp.,GCI Communication Corp.,NH,330159800111025,60,0,0,0,1
1019,1019,"ViaSat, Inc.",Viasat Inc,CA,061030001001038,60,1,35,3,1
1020,1020,"VSAT Systems, LLC",Skycasters,LA,220710017391020,60,1,2,1.3,1
1021,1021,Frontier Communications Corporation,Frontier Communications Corporation,CA,060890126042097,11,1,18,1,1
1022,1022,"HNS License Sub, LLC",HughesNet,WV,540019655003134,60,1,25,3,1
1023,1023,"VSAT Systems, LLC",Skycasters,CA,060855091052006,60,1,2,1.3,1
1024,1024,"ViaSat, Inc.",Viasat Inc,MT,300479405002072,60,1,100,3,1
1025,1025,"TruVista Communications of Georgia, LLC","Truvista Communications of Georgia, LLC",GA,131198901011012,42,1,250,30,1
1026,1026,"HNS License Sub, LLC",HughesNet,AK,020200016022002,60,1,25,3,1
1027,1027,GCI Communication Corp.,GCI Communication Corp.,NY,360450607001027,60,0,0,0,1
1028,1028,Monmouth Telephone & Telegraph,Monmouth Telephone & Telegraph,NJ,340297131003029,30,0,0,0,1
1029,1029,Total Highspeed LLC,Total Highspeed Internet Solutions,MO,290099602004032,70,1,30,30,1
1030,1030,"HNS License Sub, LLC",HughesNet,PA,421257921001008,60,1,25,3,1
1031,1031,"HNS License Sub, LLC",HughesNet,PA,420599705024083,60,1,25,3,1
1032,1032,"VSAT Systems, LLC",Skycasters,IN,181410115062009,60,1,2,1.3,1
1033,1033,"HNS License Sub, LLC",HughesNet,TN,470190717003072,60,1,25,3,1
1034,1034,"VSAT Systems, LLC",Skycasters,IL,171359574003060,60,1,2,1.3,1
1035,1035,"ViaSat, Inc.",Viasat Inc,MI,260250025003014,60,1,35,3,1
1036,1036,"VSAT Systems, LLC",Skycasters,PA,421257137002035,60,1,2,1.3,1
1037,1037,Monmouth Telephone & Telegraph,Monmouth Telephone & Telegraph,NJ,340311433003023,50,0,0,0,1
1038,1038,"VSAT Systems, LLC",Skycasters,OR,410170005004135,60,1,2,1.3,1
1039,1039,GCI Communication Corp.,GCI Communication Corp.,FL,120479601001173,60,0,0,0,1
1040,1040,"ViaSat, Inc.",Viasat Inc,NY,360594101001007,60,1,35,3,1
1041,1041,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AR,050070213082013,11,1,18,0.768,0
1042,1042,GCI Communication Corp.,GCI Communication Corp.,PA,420730109001026,60,0,0,0,1
1043,1043,"HNS License Sub, LLC",HughesNet,OK,400790403022068,60,1,25,3,1
1044,1044,"ViaSat, Inc.",Viasat Inc,MO,291694701013003,60,1,35,3,1
